Year,Austria,Belgium,Denmark,Finland,France,Germany,Greece,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Portugal,Spain,Sweden,Switzerland,United Kingdom
1960,6650133915,11810619368,6361166313,5279011362,62225478001,84310950194,4335191696,252169712,1998550222,41915814948,709941874,13263458995,5197398721,3339150158,12433394725,15953203853,10412232621,73233967692
1961,7375454614,12561701694,7058360972,5983900493,67461644222,96205728658,4961399303,257703244.6,2151772980,46542216715,710163719.4,14578381188,5669689210,3573719085,14248303793,17354781171,11713348834,77741965703
1962,7823686765,13436827167,7953274452,6407225035,75607529810,1.05509E+11,5213043168,289200704.4,2329372972,52293346805,747846862.2,15824293506,6107076929,3835883663,16621504913,18821353529,12989649694,81247564157
1963,8447136820,14445805381,8466044672,NA,84759195106,1.11823E+11,5895281432,345175036.1,2505073358,59897871868,797902154.2,17168477020,6553269536,4084251593,19645746986,20371666154,14283872299,86561961812
1964,9249879079,16168044450,9677400985,7848288358,94007851047,1.2288E+11,6669669850,440797869.3,2851091646,65569646710,910877686.3,20202316519,7206522122,4429202657,21982577365,22718426804,15833133858,94407558351
1965,10081145818,17597783297,10870670470,8679620317,1.01537E+11,1.34283E+11,NA,531569563.9,3035655794,70554398250,929477284.8,22688478855,8111945661,4901711248,25497831759,25000191834,16780226225,1.01825E+11
1966,10982543233,18894891312,11931739859,9305312888,1.10046E+11,1.42781E+11,8591522487,638349755.2,3198820904,76446251295,976717015.5,24705121842,8753940267,5370108031,29580564480,27194141951,18019402374,1.08573E+11
1967,11680319625,20252508995,13059064375,9467428626,1.18973E+11,1.44571E+11,9275600800,630567115.8,3445739915,84207912986,983052314.9,27103938851,9577383653,6002607030,32594186212,29517675437,19397044714,1.13117E+11
1968,12549016579,21654856965,13505573867,8915770473,1.29785E+11,1.55956E+11,10090674767,481532847.6,3378701147,91275077145,1075561623,30053405731,10227087165,6644693214,32417481065,31323283317,20712102794,1.0776E+11
1969,13701141219,24019653475,15414902267,10176617905,1.41903E+11,1.77085E+11,11615655895,420945147.6,3902721632,1.00764E+11,1245432991,34035946909,11136187440,7287555035,37117200724,34016617942,22442043274,1.16465E+11
1970,15373005557,26706196047,17075457600,11357516988,1.48456E+11,2.15838E+11,13139863636,526704545.5,4395995086,1.13395E+11,1457768455,38164716625,12814123115,8108235704,40992995008,38092452061,24998066773,1.30672E+11
1971,17858486067,29821661870,19085731252,12527405513,1.65967E+11,2.49985E+11,14591750000,670251136.4,5098250287,1.24672E+11,1518773421,44579122807,14583114840,9201604240,46619420359,41566412923,30040171751,1.48114E+11
1972,22059612477,37209418019,23232379952,14743186120,2.03494E+11,2.99802E+11,16885511364,839652164.1,6318060582,1.4526E+11,1901697370,54706557264,17358610850,11239117865,59132415221,48954145809,36844318854,1.69965E+11
1973,29515467707,47743801490,30730626663,19472363467,2.6443E+11,3.98374E+11,22347848101,1154440253,7481173066,1.75492E+11,2609875802,71840909664,22534253703,15090564186,78639525985,59404966684,49550006320,1.92538E+11
1974,35189299912,56033077879,34160444798,24848821490,2.85554E+11,4.45303E+11,25351306818,1515190595,7896860615,1.99564E+11,3183637117,87243413395,27145693810,17512391476,97274006346,66013338965,57103011446,2.06131E+11
1975,40059206763,65678189097,40474406216,29472623242,3.60832E+11,4.90637E+11,28525876727,1406875081,9483808362,2.27696E+11,3123333333,1.0025E+11,32877805200,19347607843,1.14777E+11,82885397621,65466081819,2.41757E+11
1976,42959976222,71113882968,44575892473,31849513771,3.72319E+11,5.19754E+11,31152835821,1669488390,9453756015,2.24717E+11,3423586207,1.09169E+11,35942270686,20332831565,1.18507E+11,89362071673,68476524644,2.32615E+11
1977,51545758888,82839905459,49784338519,33499799321,4.10279E+11,6.00498E+11,36176234968,2208509076,11248340431,2.57596E+11,3789321328,1.27017E+11,41508030431,21439523311,1.32449E+11,94468740851,73135771167,2.63066E+11
1978,62052259073,1.01247E+11,60362931854,36256160289,5.06709E+11,7.4047E+11,44270204082,2511826196,14647996074,3.15058E+11,4718539772,1.5586E+11,46522900254,23487614051,1.606E+11,1.04442E+11,1.0228E+11,3.35883E+11
1979,73937296963,1.16315E+11,70366241969,44465255686,6.13953E+11,8.81345E+11,54481876725,2853435054,18319334300,3.93677E+11,5516982664,1.79669E+11,53132244624,26622819672,2.14602E+11,1.23386E+11,1.1497E+11,4.38994E+11
1980,82058912997,1.26829E+11,71127528700,53645202423,7.01288E+11,9.50291E+11,56829664269,3381419251,21747855640,4.77257E+11,6019805490,1.95152E+11,64439382896,32896519824,2.32767E+11,1.42092E+11,1.22558E+11,5.64948E+11
1981,71034228443,1.0473E+11,61877813965,52448332874,6.15552E+11,8.00472E+11,52346506765,3492997010,20670190138,4.30703E+11,5053665797,1.64134E+11,63596654761,31977276873,2.02808E+11,1.29687E+11,1.12245E+11,5.40766E+11
